"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Asik mulai ngerapihin feed niee. Yg post squid game tadinya gausah dihapus Te biar pas tuh hihi. Tapi rapopo pokoke… https://t.co/waSpaRjKxV",FALSE,0,NA,2021-12-09 14:53:48,TRUE,NA,"1468957057013325834",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tepapuru",0,FALSE,FALSE,NA,NA
"2","@azharfattah_ lah sama wkwk trakhir gue nonton squid game. tp bentar lg balik nonton netflix soalnya ada emily in paris 2",FALSE,0,"azharfattah_",2021-12-09 14:52:45,FALSE,"1468938585864687618","1468956792931512321","499701121","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","minniewonder",0,FALSE,FALSE,NA,NA
"3","@escoaloplop Kosple jadi boneka yg di squid game kak <U+0001F923>",FALSE,0,"escoaloplop",2021-12-09 14:44:43,FALSE,"1468951918290432012","1468954767627939850","21411026","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","setsunavie",0,FALSE,FALSE,NA,NA
"4","sumpah gue nysel bgt nntn squid game",FALSE,0,NA,2021-12-09 14:39:57,FALSE,NA,"1468953570833690628",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guekeceyes",0,FALSE,FALSE,NA,NA
"5","@nantadv Lebih mirip squid game<U+0001F44D><U+0001F3FB><U+0001F64F><U+0001F3FB>",FALSE,1,"nantadv",2021-12-09 14:39:02,FALSE,"1468952833319833601","1468953338725105668","1283672478775013376","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","archiveforran_",0,FALSE,FALSE,NA,NA
"6","@schfess Bawahnya ijo squid game, atas warna putih",FALSE,0,"schfess",2021-12-09 14:19:02,FALSE,"1468899741077438464","1468948305803563014","1201673806156161025","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rawrbery",0,FALSE,FALSE,NA,NA
"7","@kdrama_menfess Start up ini drama over3 hype bgttt, mana tim2 an nya ngeri pol wkwk
Youth of may
Squid game
Nevert… https://t.co/raTx6LphSX",FALSE,0,"kdrama_menfess",2021-12-09 14:16:51,TRUE,"1468765890665533442","1468947756718833665","1012588105591713793","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__bibelll",0,FALSE,FALSE,NA,NA
"8","Aku tahun ini jarang banget nonton film, terakhir sih Squid Game, dan mental aku bener bener kekuras banget nonton… https://t.co/LkOOoY9obL",FALSE,0,NA,2021-12-09 14:08:08,TRUE,NA,"1468945561202016261",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","goIdener",0,FALSE,FALSE,NA,NA
"9","@teuverse_id @treasuremembers Sama sukk jangan2 kita jodoh? Uhuyyy

Btw ini dramanya seru but endingnya gk muasin,… https://t.co/TTH7Q2qs5T",FALSE,0,"teuverse_id",2021-12-09 14:04:07,TRUE,"1468928421128331267","1468944550357979136","1376469852479574020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SkiesLlaaaaa",0,FALSE,FALSE,NA,NA
"10","Yasin rayuwar talakan Nigeria yadda kasan Squid game haka take..manya sun samu a caca,suna zaune suna kallonmu,da k… https://t.co/HXCz8mSD5F",FALSE,4,NA,2021-12-09 14:02:27,TRUE,NA,"1468944133293228035",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SAFETYUSTAZ",0,FALSE,FALSE,NA,NA
