"","text"
"1"," dibanding   menurutku bagusan aib wkwkw"
"2"," sekolah w jd    "
"3","     terobsesi     sihtontonan     tok tok  yutub "
"4","nih     wkwk "
"5","najimi   masuk   do mati katak   "
"6","trnyata     dirusahaan  "
"7","byk sgt sami x  a   layan ce min suggest sikityg  habislcdpgood doctorsquid gameahs "
"8"," itzy mah   collab  eman     "
"9"," stiker   tuh diblakang"
"10"," najib   angkut  main  "
"11","  da ngelike si anj maksud  tuh baju olahraga sekolah  jg       anjrot"
"12"," efek heechul  ngemis  new world   join   "
"13"," utun  baju gambar shiva    ngga"
"14"," seragam olahraga gua kaya baju main   "
"15"," awowkowow kaya      bikin parodi  ta ngen  ih bagus"
"16","  mikir gini  jihoon tuh  baju    narangitja u know "
"17"," warnanya rsis  jaket   gaboong "
"18","   jugaa  ga  am skrg wkwk"
"19"," baju olahraga sekolahku    "
"20"," eh lucu  boneka   "
"21","cb kali       gabisa nter jaga  sti udh mati ketembakheuhh"
"22","oot dikit   abis jujur ngerasa kenggil  rfum    covid delta ngams online cari j "
"23","  merah angkatan   ijo angkatan  kek member   "
"24","   harian   k  k  ksharing   kprivate    "
"25"," kwkwwkkw  kek  "
"26","  kek    bgst "
"27","infogenwanipooll   memenangkan nghargaan khusus  american film institute afi  da rabu  "
"28"," lee jung jae  film  tuh kek waaaaaaawta emg     rannya baddas teros"
"29","akibat  kim beggar  new world  main   ya chul  tunggu ot twistnya "
"30","    ga ujungnya"
"31"," baju olahraga   tahanan   "
"32"," pas    tayang  pokoknya s    ngikutin gaya rambut  cewe sia namanya lu "
"33"," lobanget ama baju olahraga sma guaaa lt  macem   awoakwoka "
"34","  siajoin   si  warnanya rsis   tambahin jaket doang  mah "
"35","  harian   k  k  ksharing   kprivate   k sho "
"36","tebaktebakan    cowok wi hajoon kayanya "
"37","baju olahraga  miribaju    "
"38"," baju or sekolahku warna ijo     "
"39","     sayaaa  ketonto "
"40","cak ya allah  liat muka jay   baju     temt keruk "
"41","penasaran  drakor    wkwk oke   drakor   gua tonton   gamesudah menonton "
"42"," wkwkwkw  "
"43"," gose   e    main   lucuu trs  e   ky family  jg lucuu"
"44"," my name    saking banyaknya siler wkwkwk"
